"spid","geoid","pid","saledate","amount","customers","box"
"SP01","E1","P04","2021-01-01","8414.00",276,495
"SP06","E1","P01","2021-01-01","12894.00",115,478
"SP10","E5","P06","2021-01-01","15596.00",32,975
"SP06","E2","P11","2021-01-01","8561.00",111,330
"SP25","E3","P05","2021-01-01","14273.00",335,752
"SP09","E2","P07","2021-01-01","7553.00",67,280
"SP18","E4","P21","2021-01-04","19229.00",64,1013
"SP19","E1","P19","2021-01-04","7539.00",502,943
"SP23","E2","P16","2021-01-05","17248.00",163,664
"SP17","E4","P13","2021-01-05","9730.00",361,573
"SP18","E6","P12","2021-01-05","7063.00",250,643
"SP07","E3","P11","2021-01-05","7399.00",420,275
"SP13","E5","P22","2021-01-06","7182.00",29,378
"SP11","E5","P20","2021-01-06","10122.00",296,614
"SP05","E2","P12","2021-01-06","7123.00",63,195
"SP10","E3","P15","2021-01-06","8500.00",229,380
"SP24","E5","P02","2021-01-06","11238.00",23,690
"SP04","E6","P12","2021-01-07","8476.00",5,451
"SP05","E1","P06","2021-01-07","8705.00",189,492
"SP10","E4","P20","2021-01-07","10193.00",325,532
"SP16","E1","P07","2021-01-07","13620.00",304,960
"SP08","E3","P02","2021-01-07","14562.00",15,755
"SP23","E5","P18","2021-01-07","12450.00",192,629
"SP11","E1","P05","2021-01-07","7645.00",115,351
"SP04","E1","P01","2021-01-07","7085.00",48,353
