SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP01,E4,P04,01/01/2021,8414,276,495
SP02,E3,P14,01/01/2021,532,317,54
SP12,E2,P08,01/01/2021,5376,178,269
SP01,E4,P15,01/01/2021,259,32,22
SP19,E2,P18,01/01/2021,5530,4,179
SP17,E1,P13,01/01/2021,2184,63,122
SP20,E6,P04,01/01/2021,1057,295,71
SP14,E5,P16,01/01/2021,1036,370,37
SP10,E5,P17,01/01/2021,4039,536,176
SP06,E4,P01,01/01/2021,12894,115,478
SP18,E2,P01,01/01/2021,4669,121,180
SP04,E4,P16,01/01/2021,6377,184,246
SP22,E3,P05,01/01/2021,4599,106,256
SP22,E2,P09,01/01/2021,2751,228,251
SP10,E1,P06,01/01/2021,15596,32,975
SP06,E1,P11,01/01/2021,8561,111,330
SP25,E6,P05,01/01/2021,14273,335,752
SP02,E4,P13,01/01/2021,2506,99,148
SP19,E3,P10,01/01/2021,2387,134,89
SP09,E2,P07,01/01/2021,7553,67,280
SP22,E4,P22,01/01/2021,3409,93,171
SP15,E2,P22,01/01/2021,3878,24,216
SP12,E2,P04,01/01/2021,3052,76,204
SP18,E2,P21,01/04/2021,19229,64,1013
SP15,E6,P21,01/04/2021,1988,179,95
SP12,E6,P09,01/04/2021,147,9,11
SP20,E6,P12,01/04/2021,2401,407,134
SP11,E2,P17,01/04/2021,2814,296,94
SP06,E6,P17,01/04/2021,5390,61,216
SP23,E3,P02,01/04/2021,3920,16,262
SP19,E3,P19,01/04/2021,7539,502,943
SP23,E1,P16,01/05/2021,17248,163,664
SP18,E6,P03,01/05/2021,1176,152,66
SP17,E5,P13,01/05/2021,9730,361,573
SP16,E4,P13,01/05/2021,2226,129,140
SP18,E6,P12,01/05/2021,7063,250,643
SP07,E4,P11,01/05/2021,7399,420,275
SP04,E2,P09,01/05/2021,4284,230,306
SP07,E4,P04,01/05/2021,4865,168,271
SP06,E4,P19,01/05/2021,3780,111,315
SP13,E1,P09,01/05/2021,3059,484,279
SP11,E6,P11,01/05/2021,6622,57,276
SP04,E1,P20,01/06/2021,644,116,34
SP08,E1,P11,01/06/2021,4935,87,171
SP13,E6,P22,01/06/2021,7182,29,378
SP09,E5,P09,01/06/2021,539,10,77
SP20,E6,P19,01/06/2021,637,79,91
SP07,E2,P15,01/06/2021,1470,57,184
SP10,E2,P13,01/06/2021,1442,108,61
SP11,E2,P20,01/06/2021,9023,224,564
SP03,E6,P01,01/06/2021,2709,27,101
SP19,E3,P21,01/07/2021,5733,193,338
SP05,E3,P02,01/07/2021,10451,155,1307
SP18,E1,P18,01/07/2021,11228,236,388
SP15,E6,P17,01/07/2021,3073,137,129
SP09,E5,P13,01/07/2021,5467,109,288
SP08,E2,P20,01/07/2021,4067,272,226
SP02,E1,P05,01/08/2021,2814,69,149
SP24,E4,P17,01/08/2021,2716,299,105
SP22,E5,P09,01/08/2021,3570,61,325
SP12,E1,P13,01/08/2021,9562,123,479
SP17,E4,P22,01/08/2021,2373,2,104
SP08,E1,P17,01/08/2021,2807,236,123
SP10,E2,P01,01/08/2021,420,196,14
SP06,E2,P04,01/08/2021,8239,157,515
SP05,E4,P02,01/08/2021,6797,114,486
SP22,E4,P13,01/08/2021,6048,56,319
SP05,E5,P04,01/08/2021,364,14,21
SP19,E5,P14,01/08/2021,6496,15,406
SP24,E2,P09,01/08/2021,1057,45,106
SP08,E6,P04,01/08/2021,357,185,17
SP08,E5,P07,01/08/2021,6419,359,257
SP08,E3,P10,01/08/2021,12726,179,579
SP16,E2,P13,01/11/2021,6006,109,376
SP15,E6,P08,01/11/2021,5124,33,285
SP23,E4,P01,01/11/2021,2709,188,113
SP01,E5,P01,01/11/2021,7238,67,315
SP06,E1,P14,01/12/2021,6776,68,424
SP11,E6,P01,01/12/2021,189,123,8
SP08,E2,P12,01/12/2021,4669,217,390
SP01,E3,P19,01/12/2021,490,188,35
SP08,E5,P19,01/12/2021,4235,76,283
SP13,E2,P07,01/12/2021,4487,161,187
SP02,E3,P15,01/12/2021,2653,147,332
SP04,E4,P10,01/12/2021,5306,5,253
SP16,E2,P02,01/12/2021,6888,112,689
SP08,E4,P16,01/12/2021,721,45,24
SP14,E1,P10,01/12/2021,8610,124,345
SP10,E2,P12,01/12/2021,11739,22,903
SP16,E1,P09,01/13/2021,4774,206,341
SP10,E3,P02,01/13/2021,6307,123,789
SP21,E3,P08,01/13/2021,4340,168,217
SP09,E1,P19,01/13/2021,1078,76,77
SP13,E6,P03,01/13/2021,5418,287,247
SP03,E2,P21,01/13/2021,6069,268,434
SP15,E2,P21,01/13/2021,12334,119,686
SP08,E6,P07,01/13/2021,728,234,32
SP21,E1,P15,01/13/2021,2135,179,165
SP07,E4,P13,01/13/2021,2121,130,89
SP12,E6,P01,01/14/2021,6881,10,222
SP24,E4,P07,01/14/2021,1239,97,50
SP16,E5,P05,01/14/2021,3598,365,257
SP18,E3,P20,01/14/2021,6580,210,347
SP08,E6,P10,01/14/2021,1127,97,54
SP22,E1,P22,01/14/2021,3605,345,139
